epoch,acc,loss,lr,time,val_acc,val_loss
0,0.5085455179214478,1.2156468629837036,0.001,46.6446045730263,0.6262491941452026,0.9602551460266113
1,0.7144113183021545,0.7706156969070435,0.001,39.65348113595974,0.7914723753929138,0.5698738098144531
2,0.8205795288085938,0.5110806822776794,0.001,33.85501831700094,0.8454363942146301,0.45909059047698975
3,0.8661555647850037,0.39664018154144287,0.001,34.90953687299043,0.8920719623565674,0.30537980794906616
4,0.8875369429588318,0.33490878343582153,0.001,36.65681197110098,0.9007328152656555,0.28711768984794617
5,0.904733419418335,0.29135826230049133,0.001,36.449107920052484,0.900066614151001,0.29536694288253784
6,0.9141581058502197,0.26116424798965454,0.001,36.64084373100195,0.9247168302536011,0.2307385951280594
7,0.9282599687576294,0.22154401242733002,0.001,34.35508612601552,0.9367088675498962,0.1836993247270584
8,0.9286468029022217,0.22056591510772705,0.001,34.92094210209325,0.9427048563957214,0.19095824658870697
9,0.9364889860153198,0.20315581560134888,0.001,34.736107107950374,0.9273817539215088,0.20550566911697388
